id,year,month,carrier,carrier_name,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay,id-2,country_code,iata,airport,latitude,longitude
36,2020,12,AA,American Airlines Inc.,"Phoenix, AZ: Phoenix Sky Harbor International",2419,228,93.73,8.22,99.08,0.26,26.72,8,0,16779,8773,1396,2829,8,3773,12,US,PHX,Phoenix Sky Harbor International Airport,33.4343,-112.012
37,2020,12,AA,American Airlines Inc.,"San Diego, CA: San Diego International",434,54,19.78,0,24.58,0,9.64,1,2,1987,834,0,772,0,381,15,US,SAN,San Diego International Airport,32.7336,-117.19
38,2020,12,AA,American Airlines Inc.,"Seattle, WA: Seattle/Tacoma International",337,34,13.72,0,11.3,0,8.98,0,0,1872,722,0,525,0,625,16,US,SEA,Seattle-Tacoma International Airport,47.449,-122.309
39,2020,12,AA,American Airlines Inc.,"San Francisco, CA: San Francisco International",443,37,12.81,0.61,19.26,0.33,3.99,2,0,1665,564,70,764,11,256,17,US,SFO,San Francisco International Airport,37.619,-122.375
40,2020,12,AA,American Airlines Inc.,"Salt Lake City, UT: Salt Lake City International",223,29,12.07,0,13.84,0,3.1,0,0,1130,496,0,367,0,267,0,US,SLC,Salt Lake City International Airport,40.7884,-111.978
41,2020,12,AS,Alaska Airlines Inc.,"Atlanta, GA: Hartsfield-Jackson Atlanta International",31,2,0,0,2,0,0,0,0,52,0,0,52,0,0,1,US,ATL,Hartsfield-Jackson Atlanta International Airport,33.6367,-84.4281
42,2020,12,AS,Alaska Airlines Inc.,"Boston, MA: Logan International",60,7,0,0.29,6.71,0,0,1,0,217,0,22,195,0,0,13,US,BOS,Logan International Airport,42.3643,-71.0052
43,2020,12,AS,Alaska Airlines Inc.,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",31,3,1.97,0,1.03,0,0,1,0,139,122,0,17,0,0,19,US,BWI,Baltimore/Washington International Airport,39.1753,-76.6683
44,2020,12,AS,Alaska Airlines Inc.,"Washington, DC: Ronald Reagan Washington National",62,4,2.43,0,1.57,0,0,2,0,207,149,0,58,0,0,24,US,DCA,Ronald Reagan Washington National Airport,38.8522,-77.0378
45,2020,12,AS,Alaska Airlines Inc.,"Denver, CO: Denver International",115,13,2,0.14,9.31,0,1.55,0,0,526,159,12,298,0,57,9,US,DEN,Denver International Airport,39.8617,-104.673
46,2020,12,AS,Alaska Airlines Inc.,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",110,9,2.45,0.25,6.3,0,0,0,0,449,122,18,309,0,0,8,US,DFW,Dallas/Fort Worth International Airport,32.8968,-97.038
47,2020,12,AS,Alaska Airlines Inc.,"Detroit, MI: Detroit Metro Wayne County",26,3,2,0,0.53,0,0.47,0,0,99,65,0,18,0,16,20,US,DTW,Detroit Metro Wayne County Airport,42.2125,-83.3533
48,2020,12,AS,Alaska Airlines Inc.,"Newark, NJ: Newark Liberty International",79,2,0,0,1,0,1,4,0,45,0,0,20,0,25,21,US,EWR,Newark Liberty International Airport,40.6925,-74.1686
49,2020,12,AS,Alaska Airlines Inc.,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",145,11,6.68,0,4.32,0,0,0,1,479,373,0,106,0,0,2,US,FLL,Fort Lauderdale-Hollywood International Airport,26.0726,-80.1527
50,2020,12,AS,Alaska Airlines Inc.,"Houston, TX: George Bush Intercontinental/Houston",31,1,0,0,0,0,1,0,0,24,0,0,0,0,24,14,US,IAH,George Bush Intercontinental Airport,29.9844,-95.3414
51,2020,12,AS,Alaska Airlines Inc.,"New York, NY: John F. Kennedy International",55,4,0,0,3.13,0,0.88,2,0,143,0,0,122,0,21,22,US,JFK,John F. Kennedy International Airport,40.6397,-73.7789
52,2020,12,AS,Alaska Airlines Inc.,"Las Vegas, NV: McCarran International",283,14,9.01,0.51,4.48,0,0,0,0,662,442,37,183,0,0,7,US,LAS,Harry Reid International Airport,36.0801,-115.152
53,2020,12,AS,Alaska Airlines Inc.,"Los Angeles, CA: Los Angeles International",500,21,9.38,1.54,7.08,0,3,4,0,1016,506,113,259,0,138,6,US,LAX,Los Angeles International Airport,33.9425,-118.408
54,2020,12,AS,Alaska Airlines Inc.,"Orlando, FL: Orlando International",130,8,3.84,0,3.16,0,1,1,0,327,149,0,76,0,102,4,US,MCO,Orlando International Airport,28.4294,-81.309
55,2020,12,AS,Alaska Airlines Inc.,"Minneapolis, MN: Minneapolis-St Paul International",31,1,0,0,1,0,0,1,0,18,0,0,18,0,0,5,US,MSP,Minneapolis-Saint Paul International Airport (Wold-Chamberlain Field),44.882,-93.2218
56,2020,12,AS,Alaska Airlines Inc.,"Chicago, IL: Chicago O'Hare International",144,11,1.88,1.38,7.75,0,0,0,0,322,77,56,189,0,0,18,US,ORD,Chicago O'Hare International Airport,41.9786,-87.9047
57,2020,12,AS,Alaska Airlines Inc.,"Philadelphia, PA: Philadelphia International",31,3,0.53,0,2.47,0,0,1,0,68,8,0,60,0,0,11,US,PHL,Philadelphia International Airport,39.8719,-75.2411
58,2020,12,AS,Alaska Airlines Inc.,"Phoenix, AZ: Phoenix Sky Harbor International",275,9,4.29,1.66,3.06,0,0,0,1,653,139,368,146,0,0,12,US,PHX,Phoenix Sky Harbor International Airport,33.4343,-112.012
59,2020,12,AS,Alaska Airlines Inc.,"San Diego, CA: San Diego International",394,17,6.87,1.44,4.79,0,3.9,3,0,1061,278,313,202,0,268,15,US,SAN,San Diego International Airport,32.7336,-117.19
60,2020,12,AS,Alaska Airlines Inc.,"Seattle, WA: Seattle/Tacoma International",3812,235,64.4,10.24,109.48,1.47,49.41,47,6,11162,4013,669,3119,28,3333,16,US,SEA,Seattle-Tacoma International Airport,47.449,-122.309
61,2020,12,AS,Alaska Airlines Inc.,"San Francisco, CA: San Francisco International",213,10,3.7,1.63,2.67,0,2,6,0,925,242,388,161,0,134,17,US,SFO,San Francisco International Airport,37.619,-122.375
